IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
G09  37.70  41.08  36.34  70.23  -6.06  -3.49  0.65  0.60  0.72  0.67  0.41
G10  35.88  41.52  37.37  70.54 -13.39  -4.38  0.65  0.61  0.72  0.67  0.41
G11  34.95  42.51  38.92  71.22 -19.46  -5.30  0.64  0.61  0.70  0.65  0.40
G12  34.51  43.26  40.24  71.73 -23.13  -6.16  0.65  0.63  0.71  0.64  0.40
G13  25.97  35.70  48.13  66.29 -31.79 -25.23  0.52  0.56  0.43  0.55  0.35
G14  38.71  25.71  34.33  57.76  50.94 -22.13  0.28  0.26  0.37  0.36  0.23
G15  63.12  64.09  18.52  84.01   3.05  50.92  0.36  0.42  0.58  0.91  0.47
G16  13.80  14.34  12.86  44.71  -0.13  -2.94  0.43  0.39  0.49  0.87  0.53
G17  36.49  26.88  13.78  58.87  38.96  18.97  0.32  0.30  0.49  0.89  0.49
G18  21.06  30.01  16.68  61.66 -33.65  16.55  0.54  0.59  0.55  0.82  0.50
G19  16.90  15.80  31.81  46.71   9.50 -37.43  0.41  0.37  0.42  0.63  0.38
H01   2.67   3.12   3.86  20.51  -6.13  -9.11  0.11  0.11  0.17  0.72  0.44
H02   2.43   3.18   5.32  20.76 -11.93 -16.79  0.10  0.11  0.23  0.71  0.44
H03   2.19   3.15   6.71  20.65 -16.46 -23.44  0.08  0.10  0.26  0.69  0.43
H04   2.27   3.21   7.49  20.84 -15.62 -26.35  0.08  0.10  0.28  0.67  0.41
H05   9.70  11.05  13.01  39.66  -7.43 -12.05  0.30  0.29  0.44  0.82  0.50
H06   8.89  11.24  16.76  39.98 -15.40 -21.04  0.30  0.31  0.50  0.75  0.46
